,date,M1,M2,M3,M4,M5,M6,M7,M8
1,3/26/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
2,3/29/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
3,3/30/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
4,3/31/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
5,4/1/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
6,4/2/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
7,4/5/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
8,4/6/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
9,4/7/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
10,4/8/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
11,4/12/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
12,4/13/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
13,4/14/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
14,4/15/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
15,4/16/04,NA,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04)
16,4/19/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
17,4/20/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
18,4/21/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
19,4/22/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
20,4/23/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
21,4/26/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
22,4/27/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
23,4/28/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
24,4/29/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
25,4/30/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
26,5/3/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
27,5/4/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
28,5/5/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
29,5/6/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
30,5/7/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
31,5/10/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
32,5/11/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
33,5/12/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
34,5/13/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
35,5/14/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
36,5/17/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
37,5/18/04,K (May 04),M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA
38,5/19/04,M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA,NA
39,5/20/04,M (Jun 04),NA,Q (Aug 04),NA,NA,X (Nov 04),NA,NA
40,5/21/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
41,5/24/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
42,5/25/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
43,5/26/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
44,5/27/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
45,5/28/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
46,6/1/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
47,6/2/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
48,6/3/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
49,6/4/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
50,6/7/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
51,6/8/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
52,6/9/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
53,6/10/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
54,6/14/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
55,6/15/04,M (Jun 04),N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA
56,6/16/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,NA
57,6/17/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,NA
58,6/18/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
59,6/21/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
60,6/22/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
61,6/23/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
62,6/24/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
63,6/25/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
64,6/28/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
65,6/29/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
66,6/30/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
67,7/1/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
68,7/2/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
69,7/6/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
70,7/7/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
71,7/8/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
72,7/9/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
73,7/12/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
74,7/13/04,N (Jul 04),Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05)
75,7/14/04,Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05),NA
76,7/15/04,Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05),NA
77,7/16/04,Q (Aug 04),NA,NA,X (Nov 04),NA,NA,G (Feb 05),NA
78,7/19/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
79,7/20/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
80,7/21/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
81,7/22/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
82,7/23/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
83,7/26/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
84,7/27/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
85,7/28/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
86,7/29/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
87,7/30/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
88,8/2/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
89,8/3/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
90,8/4/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
91,8/5/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
92,8/6/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
93,8/9/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
94,8/10/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
95,8/11/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
96,8/12/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
97,8/13/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
98,8/16/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
99,8/17/04,Q (Aug 04),U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA
100,8/18/04,U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA,NA
101,8/19/04,U (Sep 04),NA,X (Nov 04),NA,NA,G (Feb 05),NA,NA
102,8/20/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
103,8/23/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
104,8/24/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
105,8/25/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
106,8/26/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
107,8/27/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
108,8/30/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
109,8/31/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
110,9/1/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
111,9/2/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
112,9/3/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
113,9/7/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
114,9/8/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
115,9/9/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
116,9/10/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
117,9/13/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
118,9/14/04,U (Sep 04),V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA
119,9/15/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,NA
120,9/16/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,NA
121,9/17/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,NA
122,9/20/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
123,9/21/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
124,9/22/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
125,9/23/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
126,9/24/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
127,9/27/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
128,9/28/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
129,9/29/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
130,9/30/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
131,10/1/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
132,10/4/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
133,10/5/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
134,10/6/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
135,10/7/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
136,10/8/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
137,10/11/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
138,10/12/04,V (Oct 04),X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05)
139,10/13/04,X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05),NA
140,10/14/04,X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05),NA
141,10/15/04,X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05),NA
142,10/18/04,X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05),NA
143,10/19/04,X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05),NA
144,10/20/04,X (Nov 04),NA,NA,G (Feb 05),NA,NA,K (May 05),NA
145,10/21/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
146,10/22/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
147,10/25/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
148,10/26/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
149,10/27/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
150,10/28/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
151,10/29/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
152,11/1/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
153,11/2/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
154,11/3/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
155,11/4/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
156,11/5/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
157,11/8/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
158,11/9/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
159,11/10/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
160,11/11/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
161,11/12/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
162,11/15/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
163,11/16/04,X (Nov 04),NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA
164,11/17/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
165,11/18/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
166,11/19/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
167,11/22/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
168,11/23/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
169,11/24/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
170,11/26/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
171,11/29/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
172,11/30/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
173,12/1/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
174,12/2/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
175,12/3/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
176,12/6/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
177,12/7/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
178,12/8/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
179,12/9/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
180,12/10/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
181,12/13/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
182,12/14/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
183,12/15/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
184,12/16/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
185,12/17/04,NA,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA
186,12/20/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
187,12/21/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
188,12/22/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
189,12/23/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
190,12/27/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
191,12/28/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
192,12/29/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
193,12/30/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
194,12/31/04,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
195,1/3/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
196,1/4/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
197,1/5/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
198,1/6/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
199,1/7/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
200,1/10/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
201,1/11/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
202,1/12/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
203,1/13/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
204,1/14/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
205,1/18/05,F (Jan 05),G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05)
206,1/19/05,G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05),NA
207,1/20/05,G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05),NA
208,1/21/05,G (Feb 05),NA,NA,K (May 05),NA,NA,Q (Aug 05),NA
209,1/24/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
210,1/25/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
211,1/26/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
212,1/27/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
213,1/28/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
214,1/31/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
215,2/1/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
216,2/2/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
217,2/3/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
218,2/4/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
219,2/7/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
220,2/8/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
221,2/9/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
222,2/10/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
223,2/11/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
224,2/14/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
225,2/15/05,G (Feb 05),H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA
226,2/16/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
227,2/17/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
228,2/18/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
229,2/22/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
230,2/23/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
231,2/24/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
232,2/25/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
233,2/28/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
234,3/1/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
235,3/2/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
236,3/3/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
237,3/4/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
238,3/7/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
239,3/8/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
240,3/9/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
241,3/10/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
242,3/11/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
243,3/14/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
244,3/15/05,H (Mar 05),NA,K (May 05),NA,NA,Q (Aug 05),NA,NA
245,3/16/05,NA,K (May 05),NA,NA,Q (Aug 05),NA,NA,X (Nov 05)
246,3/17/05,NA,K (May 05),NA,NA,Q (Aug 05),NA,NA,X (Nov 05)
247,3/18/05,NA,K (May 05),NA,NA,Q (Aug 05),NA,NA,X (Nov 05)
248,3/21/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
249,3/22/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
250,3/23/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
251,3/24/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
252,3/28/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
253,3/29/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
254,3/30/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
255,3/31/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
256,4/1/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
257,4/4/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
258,4/5/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
259,4/6/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
260,4/7/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
261,4/8/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
262,4/11/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
263,4/12/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
264,4/13/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
265,4/14/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
266,4/15/05,NA,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05)
267,4/18/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
268,4/19/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
269,4/20/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
270,4/21/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
271,4/22/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
272,4/25/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
273,4/26/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
274,4/27/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
275,4/28/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
276,4/29/05,K (May 05),M (Jun 05),NA,Q (Aug 05),NA,NA,X (Nov 05),NA
